                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.74902,                0.80553,                 1.1313,                0.89563,                0.88327,                0.92702,                0.70583,                0.85711,                0.67777,                 1.3201,               0.003169,               0.003169,               0.003169
                     71,                0.74406,                0.78507,                 1.1253,                0.90092,                0.88833,                0.93141,                0.71005,                0.85903,                  0.663,                 1.3296,                0.00307,                0.00307,                0.00307
                     72,                 0.7426,                0.78847,                 1.1301,                 0.8982,                0.88713,                0.92771,                0.70623,                0.85915,                 0.6638,                 1.3241,               0.002971,               0.002971,               0.002971
                     73,                0.73708,                0.77684,                  1.126,                0.88914,                0.89719,                0.92652,                0.70355,                0.86277,                  0.666,                 1.3301,               0.002872,               0.002872,               0.002872
                     74,                0.73555,                0.77149,                 1.1256,                0.89352,                0.89054,                0.92542,                0.70302,                0.86762,                0.66781,                 1.3391,               0.002773,               0.002773,               0.002773
                     75,                0.73114,                 0.7787,                  1.124,                 0.8957,                0.89221,                0.92551,                0.70176,                   0.87,                0.66837,                 1.3447,               0.002674,               0.002674,               0.002674
                     76,                0.72321,                0.75154,                  1.118,                0.89408,                0.88737,                0.92507,                0.70137,                0.87311,                0.66345,                  1.349,               0.002575,               0.002575,               0.002575
                     77,                0.72583,                0.75536,                 1.1217,                0.89382,                0.89004,                0.92456,                0.70055,                0.87373,                0.66822,                 1.3534,               0.002476,               0.002476,               0.002476
                     78,                0.72149,                0.74915,                 1.1163,                0.88968,                0.89494,                0.92561,                 0.6991,                0.87203,                0.67128,                 1.3527,               0.002377,               0.002377,               0.002377
                     79,                0.72118,                0.75235,                 1.1185,                0.89369,                0.88537,                0.92471,                0.70136,                0.87281,                0.66393,                 1.3561,               0.002278,               0.002278,               0.002278
                     80,                 0.7149,                0.74456,                 1.1163,                 0.8948,                0.88801,                 0.9256,                 0.7002,                0.87441,                0.65911,                 1.3576,               0.002179,               0.002179,               0.002179
                     81,                0.70655,                0.73054,                 1.1073,                0.89107,                0.88739,                0.92479,                0.70049,                0.87459,                0.66184,                 1.3578,                0.00208,                0.00208,                0.00208
                     82,                0.70699,                0.73291,                 1.1073,                0.89541,                0.87939,                0.92483,                0.69941,                0.87691,                0.65954,                  1.364,               0.001981,               0.001981,               0.001981
                     83,                0.70563,                0.72151,                  1.109,                0.89081,                0.89429,                0.92623,                0.69958,                0.88086,                0.65646,                 1.3708,               0.001882,               0.001882,               0.001882
                     84,                0.69445,                0.72136,                 1.1048,                0.89901,                0.89034,                0.92629,                0.69845,                0.87809,                0.66112,                 1.3677,               0.001783,               0.001783,               0.001783
                     85,                 0.6979,                 0.7086,                  1.104,                0.89182,                0.89293,                0.92575,                0.69913,                0.87887,                 0.6578,                 1.3693,               0.001684,               0.001684,               0.001684
                     86,                0.69519,                0.70987,                 1.0991,                0.89469,                0.88846,                0.92549,                0.69987,                0.88316,                0.65712,                 1.3745,               0.001585,               0.001585,               0.001585
                     87,                0.69344,                0.71121,                 1.1025,                0.89779,                0.89031,                0.92603,                0.69956,                0.88691,                0.65339,                 1.3791,               0.001486,               0.001486,               0.001486
                     88,                0.68205,                0.68979,                 1.0945,                0.89628,                0.88737,                0.92645,                0.69933,                0.88739,                0.65474,                 1.3794,               0.001387,               0.001387,               0.001387
                     89,                0.67963,                0.69175,                 1.0954,                0.89891,                0.88297,                0.92748,                0.69939,                0.88704,                0.65295,                 1.3799,               0.001288,               0.001288,               0.001288
                     90,                0.67872,                0.68294,                 1.0924,                0.89627,                0.88228,                0.92736,                 0.6994,                0.88696,                0.65016,                  1.381,               0.001189,               0.001189,               0.001189
                     91,                0.67041,                 0.6758,                 1.0885,                0.89475,                0.88858,                0.92881,                 0.7003,                0.88853,                0.64744,                  1.384,                0.00109,                0.00109,                0.00109
                     92,                0.67947,                0.68021,                 1.0971,                0.89626,                0.89343,                0.93031,                0.70131,                0.88954,                0.64798,                 1.3859,               0.000991,               0.000991,               0.000991
                     93,                0.66754,                0.67201,                 1.0885,                0.89568,                0.89483,                0.93012,                0.70019,                0.88971,                 0.6486,                  1.386,               0.000892,               0.000892,               0.000892
                     94,                0.66245,                0.66645,                 1.0893,                0.89982,                0.89415,                0.92992,                0.69967,                0.89105,                0.64842,                 1.3874,               0.000793,               0.000793,               0.000793
                     95,                0.66127,                0.65852,                 1.0841,                0.89716,                0.89749,                0.93001,                0.69976,                 0.8916,                0.64899,                 1.3888,               0.000694,               0.000694,               0.000694
                     96,                0.65952,                0.65538,                 1.0805,                0.89912,                0.89383,                 0.9301,                0.69977,                0.89303,                0.64818,                 1.3916,               0.000595,               0.000595,               0.000595
                     97,                0.65477,                0.65577,                 1.0805,                0.89797,                0.89629,                0.93001,                0.70039,                0.89354,                0.64802,                 1.3934,               0.000496,               0.000496,               0.000496
                     98,                0.65146,                0.64804,                 1.0808,                0.89829,                0.89538,                 0.9299,                0.69966,                0.89446,                0.64837,                 1.3952,               0.000397,               0.000397,               0.000397
                     99,                0.65064,                0.63863,                 1.0774,                 0.8937,                0.89833,                0.92876,                0.69933,                0.89595,                0.64732,                 1.3985,               0.000298,               0.000298,               0.000298
